4.690431, 5.154830, C:maj 
5.154830, 5.642449, C:maj 
5.642449, 6.106848, C:maj 
6.106848, 6.594467, C:maj 
6.594467, 7.058866, A#:maj 
7.058866, 7.523265, A#:maj 
7.523265, 7.987664, A#:maj 
7.987664, 8.452063, A#:maj 
8.452063, 8.916463, C:maj 
8.916463, 9.404082, C:maj 
9.404082, 9.868481, C:maj 
9.868481, 10.332880, C:maj 
10.332880, 10.797279, A#:maj 
10.797279, 11.261678, A#:maj 
11.261678, 11.726077, A#:maj 
11.726077, 12.190476, A#:maj 
12.190476, 12.631655, C:maj 
12.631655, 13.119274, C:maj 
13.119274, 13.560454, C:maj 
13.560454, 14.024853, C:maj 
14.024853, 14.489252, A#:maj 
14.489252, 14.976871, A#:maj 
14.976871, 15.418050, A#:maj 
15.418050, 15.882449, A#:maj 
15.882449, 16.346848, C:maj 
16.346848, 16.834467, C:maj 
16.834467, 17.275646, C:maj 
17.275646, 17.740045, C:maj 
17.740045, 18.204444, A#:maj 
18.204444, 18.668844, A#:maj 
18.668844, 19.133243, A#:maj 
19.133243, 19.574422, A#:maj 
19.574422, 20.038821, C:maj 
20.038821, 20.526440, C:maj 
20.526440, 20.990839, C:maj 
20.990839, 21.455238, C:maj 
21.455238, 21.896417, A#:maj 
21.896417, 22.360816, A#:maj 
22.360816, 22.825215, A#:maj 
22.825215, 23.289615, A#:maj 
23.289615, 23.754014, C:maj 
23.754014, 24.218413, C:maj 
24.218413, 24.682812, C:maj 
24.682812, 25.147211, C:maj 
25.147211, 25.611610, A#:maj 
25.611610, 26.099229, A#:maj 
26.099229, 26.540408, A#:maj 
26.540408, 27.004807, A#:maj 
27.004807, 27.469206, C:maj 
27.469206, 27.933605, C:maj 
27.933605, 28.398005, C:maj 
28.398005, 28.862404, C:maj 
28.862404, 29.303583, A#:maj 
29.303583, 29.791202, A#:maj 
29.791202, 30.255601, A#:maj 
30.255601, 30.720000, A#:maj 
30.720000, 31.184399, C:maj 
31.184399, 31.672018, C:maj 
31.672018, 32.113197, C:maj 
32.113197, 32.577596, C:maj 
32.577596, 33.041995, A#:maj 
33.041995, 33.506395, A#:maj 
33.506395, 33.970794, A#:maj 
33.970794, 34.435193, A#:maj 
34.435193, 34.876372, A:min 
34.876372, 35.340771, A:min 
35.340771, 35.805170, A:min 
35.805170, 36.246349, A:min 
36.246349, 36.710748, D:maj 
36.710748, 37.175147, D:maj 
37.175147, 37.639546, D:maj 
37.639546, 38.127166, D:maj 
38.127166, 38.591565, A:min 
38.591565, 39.055964, A:min 
39.055964, 39.520363, A:min 
39.520363, 39.984762, A:min 
39.984762, 40.449161, D:maj 
40.449161, 40.913560, D:maj 
40.913560, 41.377959, D:maj 
41.377959, 41.842358, D:maj 
41.842358, 42.306757, G:min 
42.306757, 42.724717, G:min 
42.724717, 43.119456, G:min 
43.119456, 43.560635, G:min 
43.560635, 44.001814, C:maj 
44.001814, 44.489433, C:maj 
44.489433, 44.930612, C:maj 
44.930612, 45.418231, C:maj 
45.418231, 45.859410, G:min 
45.859410, 46.323810, G:min 
46.323810, 46.764989, G:min 
46.764989, 47.229388, G:min 
47.229388, 47.693787, C:maj 
47.693787, 48.134966, C:maj 
48.134966, 48.576145, C:maj 
48.576145, 49.040544, C:maj 
49.040544, 49.551383, F:min 
49.551383, 50.085442, F:min 
50.085442, 50.573061, F:min 
50.573061, 51.060680, F:min 
51.060680, 51.501859, A#:maj 
51.501859, 51.966259, A#:maj 
51.966259, 52.430658, A#:maj 
52.430658, 52.918277, A#:maj 
52.918277, 53.382676, F:min 
53.382676, 53.847075, F:min 
53.847075, 54.288254, F:min 
54.288254, 54.752653, F:min 
54.752653, 55.217052, A#:maj 
55.217052, 55.704671, A#:maj 
55.704671, 56.169070, A#:maj 
56.169070, 56.633469, A#:maj 
56.633469, 57.097868, F#:maj 
57.097868, 57.562268, F#:maj 
57.562268, 58.003447, F#:maj 
58.003447, 58.467846, F#:maj 
58.467846, 58.932245, F#:maj 
58.932245, 59.396644, F#:maj 
59.396644, 59.837823, F#:maj 
59.837823, 60.302222, F#:maj 
